"1-A, 1-A/A";Offering statement under Regulation A
497;"Definitive materials filed under paragraph (a), (b), (c), (d), (e) or (f) of Securities Act Rule 497"
497AD;"Filing by certain investment companies of Securities Act Rule 482 advertising in accordance with Securities Act Rule 497"
497H2;Filings made pursuant to Rule 497(h)(2)
497J;"Certification of no change in definitive materials under paragraph (j) of Securities Act Rule 497"
497K;"Summary Prospectus for certain open-end management investment companies filed pursuant to Securities Act Rule 497(k)"
"5, 5/A";"Annual statement of changes in beneficial ownership of securities"
"6-K, 6-K/A";"Current report of foreign issuer pursuant to Rules 13a-16 and 15d-16 Amendments"
"8-A12B, 8-A12B/A";"Form for the registration / listing of a class of securities on a national securities exchange pursuant to Section 12(b)"
"8-A12G, 8-A12G/A";"Form for registration of a class of securities pursuant to Section 12(g)"
"8-K, 8-K/A";Current report filing
"8-K12B, 8-K12B/A";"Notification that a class of securities of successor issuer is deemed to be registered pursuant to Section 12(b)"
"8-K12G3,8-K12G3/A";"Notification that a class of securities of successor issuer is deemed to be registered pursuant to Section 12(g)"
"8-K15D5, 8-K15D5/A";"Notification of assumption of duty to report by successor issue under Section 15(d)"
"ABS-15G, ABS-15G/A";"Asset-backed securities report pursuant to Section 15G"
"ABS-EE,ABS-EE/A";Form for Submission of Electronic Exhibits in asset-backed securities offerings
"ANNLRPT,ANNLRPT/A";"Periodic Development Bank filing, submitted annually"
"APP WD,APP WD/A";"Withdrawal of an application for exemptive or other relief from the federal securities laws"
"ARS, ARS/A";Annual report to security holders
ATS-N;Initial Form ATS-N (Rule 304(a)(1)(i))
ATS-N/CA;Correcting Amendment (Rule 304(a)(2)(i)(C))
ATS-N/MA;Material Amendment (Rule 304(a)(2)(i)(A))
ATS-N/OFA;"Order Display and Fair Access Amendment (Rule 304(a)(2)(i)(D))"
ATS-N/UA;Updating Amendment (Rule 304(a)(2)(i)(B))
ATS-N-C;Notice of Cessation (Rule 304(a)(3))
ATS-N-W;Withdrawal of Form ATS-N filing
AW;"Withdrawal of amendment to a registration statement filed under the Securities Act"
AW WD;"Withdrawal of a request for withdrawal of an amendment to a registration statement"
BULK;Bulk Submission
"C, C/A";Offering Statement
C-W;Offering Statement Withdrawal
C/A-W;Amendment to Offering Statement Withdrawal
C-U;Progress Update
C-U-W;Progress Update Withdrawal
"C-AR, C-AR/A";Annual Report
C-AR-W;Annual Report Withdrawal
C-AR/A-W;Amendment to Annual Report Withdrawal
C-TR;Termination of Reporting
C-TR-W;Termination of Reporting Withdrawal
"CB, CB/A";"Notification form filed in connection with certain tender offers, business combinations and rights offerings, in which the subject company is a foreign private issuer of which less than 10% of its securities are held by U.S. persons"
CERT;"Certification by an exchange approving securities for listing"
"CFPORTAL,CFPORTAL/A";Application for registration of funding portal
CFPORTAL-W;Withdrawal of the funding portal�s registration
CORRESP;"A correspondence can be sent as a document with another submission type or can be sent as a separate submission."
"D, D/A";"Official notice of an offering of securities that is made without registration under the Securities Act in reliance on an exemption provided by Regulation D and Section 4(a)(5) under the Act."
DEF 14A;Definitive proxy statements
DEF 14C;Definitive information statements
DEFA14A;"Definitive additional proxy soliciting materials including Rule 14(a)(12) material. Note: Submission type DEFA14A can be filed as part of Form 8-K. For filers subject to 8-K filing requirements, we recommend the use of the 8-K combined form type as the easiest method for fulfilling your filing requirement for both forms."
DEFA14C;"Definitive additional information statement materials including Rule 14(a)(12) material"
DEFC14A;"Definitive proxy statement in connection with contested solicitations"
DEFC14C;"Definitive information statement - contested solicitations"
DEFM14A;"Definitive proxy statement relating to a merger, acquisition, or disposition"
DEFM14C;"Definitive information statement relating to merger or acquisition"
DEFN14A;Definitive proxy statement filed by non-management
DEFR14A;Definitive revised proxy soliciting materials
DEFR14C;Definitive revised information statement materials
DEL AM;"Separately filed delaying amendment under Securities Act Rule 473 to delay effectiveness of a 1933 Act registration statement"
DFAN14A;"Definitive additional proxy soliciting materials filed by non-management including Rule 14(a)(12) material"
DFRN14A;Revised definitive proxy statement filed by non-management
"DOS, DOS/A";"Non-public draft offering statement under Regulation A"
DOSLTR;Draft Offering Statement Letter
"DRS, DRS/A";"Draft registration statement submitted by Emerging Growth Company under Securities Act Section 6(e) or by Foreign Private Issuer under Division of Corporation Finance policy"
DRSLTR;"Correspondence Related to Draft Registration Statement"
"DSTRBRPT,DSTRBRPT/A";"Distribution of primary obligations Development Bank report"
"F-1, F-1/A";"Registration statement for securities of certain foreign private issuers"
"F-10, F-10/A";"Registration statement for securities of certain Canadian issuers under the Securities Act of 1933"
F-10EF;"Auto effective registration statement for securities of certain Canadian issuers under the Securities Act of 1933"
F-10POS;Post-effective amendment to a F-10EF registration
F-1MEF;"A new registration statement filed under Rule 462(b) to add securities to a prior related effective registration statement filed on Form F-1"
"F-3, F-3/A";"Registration statement for specified transactions by certain foreign private issuers"
F-3ASR;"Automatic shelf registration statement of securities of well-known seasoned issuers"
F-3D;"Registration statement for dividend or interest reinvestment plan securities of foreign private issuers"
F-3DPOS;Post-Effective amendment to a F-3D registration
F-3MEF;"A new registration statement filed under Rule 462(b) to add securities to a prior related effective registration statement filed on Form F 3"
F-4 POS;Post-effective amendment to a F-4EF registration
"F-4, F-4/A";"Registration statement for securities issued by foreign private issuers in certain business combination transactions"
F-4EF;"Auto effective registration statement for securities by certain foreign private issuers in connection with certain business combination transactions"
F-4MEF;"A new registration statement filed under Rule 462(b) to add securities to a prior related effective registration statement filed on Form F 4"
F-6 POS;Post-effective amendment to a F-6EF registration
"F-6, F-6/A";"Registration statement for American Depositary Receipts representing securities of certain foreign private issuers"
F-6EF;"Auto effective registration statement for American Depositary Receipts representing securities of certain foreign private issuers"
F-7 POS;Post-effective amendment to a F-7 registration
"F-7, F-7/A";"Registration statement for securities of certain Canadian issuers offered for cash upon the exercise of rights granted to existing security holders under the Securities Act of 1933"
F-8 POS;Post-effective amendment to a F-8 registration
"F-8, F-8/A";"Registration statement for securities of certain Canadian issuers to be issued in exchange offers or a business combination under the Securities Act of 1933"
"F-80, F-80/A";"Registration of securities of certain Canadian issuers to be issued in exchange offers or a business combination under the Securities Act of 1933"
F-80POS;Post-effective amendment to a F-80 registration
"F-N, F-N/A";"Notification of the appointment of an agent for service by certain foreign institutions"
FWP;"Filing under Securities Act Rules 163/433 of free writing prospectuses"
"F-X, F-X/A";"For appointment of agent for service of process by issuers registering securities"
IRANNOTICE;"Notice of disclosure filed in Exchange Act quarterly and annual reports pursuant to Section 219 of the Iran Threat Reduction and Syria Human Rights Act of 2012 and Section 13(r) of the Exchange Act"
"MA, MA-A, MA/A";"Municipal Advisor registration required pursuant to Section 15B(a)(2) of the Securities Exchange Act of 1934 and the Rules Thereunder. Application for Municipal Advisor Registration (MA), Annual Update of Municipal Advisor Registration (MA-A), and Amendment of a Prior Application for Registration (MA/A)"
"MA-I, MA-I/A";"Information Regarding Natural Persons Who Engage in Municipal Advisory Activities, and Amendment of a Previously Submitted Form MA-I"
MA-W;"Notice of Withdrawal from Registration as a Municipal Advisor"
MODULE;Module Submission
"N-1, N-1/A";"Initial registration statement filed on Form N-1 for open-end management investment companies"
"N-14 8C,N-14 8C/A";"Initial registration statement filed on Form N14 by closed-end investment company (business combinations)"
"N-14, N-14/A";"Initial registration statement filed on Form N14 for open-end investment company, including those filed with automatic effectiveness under Rule 488 (business combinations)"
N-14MEF;"A new registration statement filed on Form N14 by closed end investment companies filed under Securities Act Rule 462(b) of up to an additional 20% of securities for an offering that was registered on Form N-14"
"N-18F1, N-18F1/A";"Initial notification of election pursuant to Rule 18f-1 filed on Form N-18F-1"
"N-1A, N-1A/A";"Initial registration statement filed on Form N1A for open-end management investment companies"
"N-2, N-2/A";"Initial filing of a registration statement on Form N-2 for closed-end investment companies"
"N-23C-2, N-23C-2/A";"Notice by closed-end investment companies of intention to call or redeem their own securities under Investment Company Act Rule 23c-2"
"N-23C3A, N23C3A/A";"Notification of periodic repurchase offer Filed pursuant to Rule 23c-3(b) only"
"N-23C3B, N23C3B/A";"Filing pursuant to Rule 23c-3(c) only on Form N-23C-3"
"N-23C3C, N23C3C/A";"Filing pursuant to Rule 23c-3(b) and (c) on Form N-23C-3"
"N-27D-1, N-27D-1/A";Accounting for segregated trust accounts on Form N-27D-1
N-2MEF;"A new registration statement on Form N-2 filed under Securities Act Rule 462(b) by closed-end investment companies of up to an additional 20% of securities for an offering that was registered on Form N-2"
"N-3, N-3/A";"Initial registration statement on Form N-3 for separate accounts (management investment companies)"
N-30B-2;"Periodic and interim reports mailed to investment company shareholders (other than annual and semi-annual reports mailed to shareholders pursuant to Rule 30e-1)"
"N-30D, N-30D/A";"Initial annual and semi-annual reports mailed to investment company shareholders pursuant to Rule 30e-1 (other than those required to be submitted as part of Form NCSR.)"
"N-4, N-4/A";"Initial registration statement on Form N-4 for separate accounts (unit investment trusts)"
"N-5, N-5/A";"Registration statement for small business investment companies"
"N-54A, N-54A/A";"Notification of election by business development companies filed on Form N-54A"
"N-54C, N-54C/A";"Notification of withdrawal by business development companies filed on Form N-54C"
"N-6, N-6/A";"Registration statement for separate accounts (unit investment trusts)"
"N-6F, N-6F/A";"Notice of intent by business development companies to elect to be subject to Sections 55 through 65 of the 1940 Act filed on Form N-6F"
"N-8A, N-8A/A";"Initial notification of registration under Section 8(a) filed on Form N-8A"
"N-8B-2, N-8B-2/A";"Initial registration statement for unit investment trusts filed on Form N-8B-2"
"N-8B-3, N-8B-3/A";"Initial registration statement for periodic payment plans filed on Form N-8B-3"
"N-8B-4, N-8B-4/A";"Initial registration statement for face-amount certificate companies filed on Form N-8B-4"
"N-8F, N-8F/A";Application for deregistration made on Form N-8F
"N-CEN, N-CEN/A";Annual Report for Registered Investment Companies
"N-CR, N-CR/A";"Current Report of Money Market Fund Material Events"
"N-CSR, N-CSR/A";"Certified annual shareholder report of registered management investment companies filed on Form N-CSR"
"N-CSRS,N-CSRS/A";"Certified semi-annual shareholder report of registered management investment companies filed on Form N-CSR"
"N-LIQUID,N-LIQUID/A";"Current Report Open-End Management Investment Company Liquidity"
"N-MFP2,N-MFP2/A";"Monthly Schedule of Portfolio Holdings of Money Market Funds on Form N-MFP"
"NPORT-EX,NPORT-EX/A";Portfolio Holdings Exhibit to Form N-PORT
"NPORT-NP,NPORT-NP/A";Monthly Portfolio Investments Report on Form N-PORT (Non-Public)
"NPORT-P,NPORT-P/A";Monthly Portfolio Investments Report on Form N-PORT (Public)
"N-PX, N-PX/A";"Annual Report of Proxy Voting Record of Registered Management Investment Companies filed on Form N-PX"
"N-PX-CR,N-PX-CR/A";"Annual Form N-PX Combination Report filed by institutional managers"
"N-PX-FM,N-PX-FM/A";"Annual Report of Proxy Voting Record of Registered Management Investment Companies that includes proxy votes institutional managers"
"N-PX-NT,N-PX-NT/A";"Annual Form N-PX Notice filed by institutional managers"
"N-PX-VR,N-PX-VR/A";"Annual Form N-PX Voting Report filed by institutional managers"
"N-Q, N-Q/A";"Quarterly Schedule of Portfolio Holdings of Registered Management Investment Company filed on Form N-Q"
NRSRO-UPD;"Form NRSRO � Update of Registration for Nationally Recognized Statistical Rating Organizations"
"NRSRO-CE, NRSRO-CE/A";"Form NRSRO � Annual Certification for Nationally Recognized Statistical Rating Organizations"
"NRSRO-FR, NRSRO-FR/A";"Annual Financial/Other Reports for Nationally Recognized Statistical Rating Organizations, as required by Rule 17g-3 (Non-Public)"
NRSRO-WCLS;"Form NRSRO � Withdrawal from Credit Rating Class for Nationally Recognized Statistical Rating Organizations"
NRSRO-WREG;"Form NRSRO � Withdrawal from Registration as Nationally Recognized Statistical Rating Organization"
"NSAR-A,NSAR-A/A";"Semi-annual report for management companies filed on Form N-SAR"
"NSAR-AT,NSAR-AT/A";Transitional semi-annual report filed on Form N-SAR
"NSAR-B,NSAR-B/A";"Annual report for management companies filed on Form N-SAR"
"NSAR-BT,NSAR-BT/A";Transitional annual report filed on Form N-SAR
"NSAR-U,NSAR-U/A";"Annual report for unit investment trusts filed on Form N-SAR"
"NT 10-K,NT 10-K/A";"Notice under Rule 12b25 of inability to timely file all or part of a Form 10-K, 10-KSB, or 10-KT"
"NT 10-D,NT 10-D/A";"Notice under Rule 12b25 of inability to timely file all or part of a Form 10-D"
"NT 10-Q,NT 10-Q/A";"Notice under Rule 12b25 of inability to timely file all or part of a form 10-Q or 10-QSB"
"NT 11-K,NT 11-K/A";"Notice under Rule 12b25 of inability to timely file all or part of a form 11-K"
"NT 15D2, NT 15D2/A";"Notice under Rule 12b25 of inability to timely file a special report pursuant to Section 15d-2"
"NT 20-F, NT 20-F/A";"Notice under Rule 12b25 of inability to timely file all or part of an annual report of form 20-F"
"NT-NCEN,NT-NCEN/A";"Notice under Exchange Act Rule 12b-25 of inability to timely file Form N-CEN"
"NT-NCSR,NTNCSR/A";"Notice under Exchange Act Rule 12b-25 of inability to timely file Form N-CSR (annual or semi-annual report)"
"NT-NSAR,NTNSAR/A";"Notice under Exchange Act Rule 12b-25 of inability to timely file Form N-SAR"
POS 8C;"Post-effective amendment filed under the 1933 Act only or under both the 1933 and 1940 Acts pursuant to Section 8(c) of the 1933 Act by closed-end investment companies (this filing cannot be submitted as a 1940 Act only filing)"
POS AM;"Post-effective amendment to a registration statement that is not immediately effective upon filing"
POS AMI;"Post-effective amendment (for filings made under the 1940 Act only)"
POSASR;"Post-effective Amendment to an automatic shelf registration statement on Form S-3ASR or Form F-3ASR"
POS EX;"Post-effective amendment filed solely to add exhibits to a registration statement"
POS462B;"Post-effective amendment to Securities Act Rule 462(b) registration statement"
POS462C;"Post-effective amendment to a registration statement filed under Rule 462(c)"
PRE 14A;"Preliminary proxy statement not related to a contested matter or merger/acquisition"
PRE 14C;"Preliminary information statement not related to a contested matter or merger/acquisition"
PREC14A;"Preliminary proxy statement in connection with contested solicitations"
PREC14C;"Preliminary information statements - contested solicitations"
PREM14A;"Preliminary proxy statement relating to a merger,acquisition, or disposition"
PREM14C;"Preliminary information statements relating to merger or acquisition"
PREN14A;"Preliminary proxy statement filed by non-management"
PRER14A;Preliminary revised proxy soliciting materials
PRER14C;Preliminary revised information statements
PRRN14A;Revised preliminary proxy statement filed by non-management
PX14A6G;Notice of exempt solicitation
PX14A6N;"Notice of exempt solicitation for the purpose of determining whether to solicit proxies, consents, or authorizations in opposition to a proposed roll-up transaction filed pursuant to Rule 14a6(g) of the Securities Exchange Act of 1934"
"QRTLYRPT,QRTLYRPT/A";"Periodic Development Bank filing, submittedquarterly"
RW;Registration Withdrawal Request
RW WD;Withdrawal of a Registration Withdrawal Request
"S-1, S-1/A";"General form of registration statement for all companies including face-amount certificate companies"
"S-11, S-11/A";"Registration statement for securities to be issued by real estate companies"
S-11MEF;"A new registration statement filed under Rule 462(b) to add securities to a prior related effective registration statement filed on Form S-11"
S-1MEF;"A new registration statement filed under Rule 462(b) to add securities to a prior related effective registration statement filed on Form S-1"
"S-20, S-20/A";Registration statement for standardized options
"S-3, S-3/A";"Registration statement for specified transactions by certain issuers"
S-3ASR;"Automatic shelf registration statement of securities of well-known seasoned issuers"
S-3D;"Automatically effective registration statement for securities issued pursuant to dividend or interest reinvestment plans"
S-3DPOS;"Post-effective amendment to a S-3D registration statement"
S-3MEF;"A new registration statement filed under Rule 462(b) to add securities to a prior related effective registration statement filed on Form S-3"
S-4 POS;"Post-effective amendment to a S-4EF registration statement"
"S-4, S-4/A";"Registration of securities issued in business combination transactions"
S-4EF;"Auto effective registration statement for securities issued in connection with the formation of a bank or savings and loan holding company in compliance with General Instruction G"
S-4MEF;"A new registration statement filed under Rule 462(b) to add securities to a prior related effective registration statement filed on Form S-4"
"S-6, S-6/A";"Initial registration statement filed on Form S-6 for unit investment trusts"
S-8;"Initial registration statement for securities to be offered to employees pursuant to employee benefit plans"
S-8 POS;"Post-effective amendment to a S-8 registration statement"
"S-B, S-B/A";"Registration statement for securities of foreign governments and subdivisions thereof under the Securities Act of 1933 (Schedule B)"
S-BMEF;"A new registration statement filed under Rule 462(b) to add securities to a prior related effective registration statement filed on Form S-B"
"SBSE, SBSE/A";"Application for Registration of Security-based Swap Dealers and Major Security-based Swap Participants"
"SBSE-A,SBSE-A/A";"Application for Registration of Security-based Swap Dealers and Major Security-based Swap Participants that are Registered or Registering with the Commodity Futures Trading Commission as a Swap Dealer or Major Swap Participant"
"SBSE-BD,SBSE-BD/A";"Application for Registration of Security-based Swap Dealers and Major Security-based Swap Participants that are Registered Broker-dealers"
SBSE-C;"Certifications for Registration of Security-based Swap Dealers and Major Security-based Swap Participants"
SBSE-W;"Request for Withdrawal from Registration as a Security-based Swap Dealer or Major Security-based Swap Participant"
"SC 13D, SC 13D/A";"Schedule filed to report acquisition of beneficial ownership of 5% or more of a class of equity securities"
"SC 13E1,";Schedule 13-E1 statement of issuer required by Rule SC 13E1/A;13e-1
"SC 13E3,SC 13E3/A";Schedule filed to report going private transactions
"SC 13G, SC 13G/A";"Schedule filed to report acquisition of beneficial ownership of 5% or more of a class of equity securities by passive investors and certain institutions"
"SC 14D9,SC 14D9/A";"Tender offer solicitation/recommendation statements filed under Rule 14d-9"
"SC 14F1,SC 14F1/A";"Statement regarding change in majority of directors pursuant to Rule 14f-1"
"SC 14N, SC 14N/A";"Information filed by certain nominating shareholders (pursuant to Section 240 14n-1)"
"SC 14N-S,SC 14N-S/A";"Solicitation in connection with the formation or attempted formation of a Rule 14a-11 nominating shareholder group or solicitation in connection with a Rule 14a-11 nomination"
SC TO-C;"Written communication relating to an issuer or third party tender offer"
"SC TO-I,SC TO-I/A";Issuer tender offer statement
"SC TO-T,SC TO-T/A";Third party tender offer statement
"SC13E4F,SC13E4F/A";"Issuer tender offer statement filed pursuant to Rule 13(e)(4) by foreign issuers"
"SC14D1F,SC14D1F/A";"Third party tender offer statement filed pursuant to Rule 14d-1(b) by foreign issuers"
SC14D9C;"Written communication by the subject company relating to a third party tender offer"
"SC14D9F,SC14D9F/A";"Solicitation/recommendation statement pursuant to Section 14(d)(4) of the Securities Exchange Act of 1934 and Rules 14d-1(b) and 14e-2(c) by foreign issuers"
"SD, SD/A";"Specialized Disclosure Report filed pursuant to Section 1502 of the Dodd-Frank Wall Street Reform and Consumer Protection Act relating to the use of conflict minerals (Rule 13p-1)"
"SDR, SDR/A,SDR-A";"Security-based swap data repository registration pursuant to the Securities Exchange Act of 1934. Application for Registration as Security-based Swap Data Repository (SDR), Interim Amendment to Application for Registration as Security-based Swap Data Repository (SDR/A), and Annual Amendment to Application for Registration as Security-based SwapData Repository (SDR-A)" 
"SDR-CCO,SDR-CCO/A";"Annual Compliance Report and Financial Report for a Security-based Swap Data Repository"
SDR-W;"Application for Withdrawal from Registration as Security-based Swap Data Repository"
"SF-1, SF-1/A";"General form of registration statement for all issuers of asset-backed securities"
SF-1MEF;"A new registration statement filed under Securities Act Rule 462(b) to add securities to a prior related effective registration statement filed on Form SF-1"
"SF-3, SF-3/A";"Shelf registration statement for qualified offerings of asset-backed securities"
SF-3MEF;"A new registration statement filed under Rule 462(b) to add securities to a prior related effective registration statement filed on Form SF-3"
"SH-ER, SH-ER/A";"Weekly Form SH Entries Report Filed by Institutional Investment Managers"
"SH-NT, SH-NT/A";"Weekly Form SH Notice Report Filed by Institutional Investment Managers"
"SP 15D2,SP 15D2/A";Special Financial Report filed under Rule 15d-2
SUPPL;"Voluntary supplemental material filed pursuant to Section 11(a) of the Securities Act of 1933 by foreign issuers"
"T-1, T-2";"Note - �Submission types� T-1 and T-2 are not used as stand-alone submission types on the EDGAR system. They are filed as EX-25 to registration statements."
"T-3, T-3/A";Initial application for qualification of trust indentures
"T-6, T-6/A";"Application for determination of eligibility of a foreign person to act as institutional trustee filed pursuant to Section 310(a)(1) of the Trust Indenture Act of 1939"
"TA-1, TA-1/A";"Application for registration as a transfer agent filed pursuant to the Securities Exchange Act of 1934"
"TA-2, TA-2/A";"Annual report of transfer agent activities filed pursuant to the Securities Exchange Act of 1934"
TA-W;"Notice of withdrawal from registration as transfer agent filed pursuant to the Securities Exchange Act of 1934"
"UNDER, UNDER/A";Initial undertaking to file reports
"X-17A-5,X-17A-5/A";"Information Required of Brokers and Dealers Pursuant to Section 17 of the Securities Exchange Act of 1934 and Rules 17a-5 and 17a-12 thereunder"
